Names,Players,Year,Month,Day,Age_2008
Karanveer Singh,Bowler,1987,November,8,21
Kartik Tyagi,Bowler,2000,November,8,8
KB Arun Karthik,Batter,1986,February,15,22
KC Cariappa,Bowler,1994,April,13,14
KC Sangakkara,Batter,1977,October,27,31
KD Karthik,Batter,1985,June,1,23
KH Pandya,All_Rounder,1991,March,24,17
KJ Abbott,Bowler,1987,June,18,21
KK Ahmed,Bowler,1997,December,5,11
KK Cooper,All_Rounder,1989,February,2,19
KK Nair,Batter,1991,December,6,17
KL Nagarkoti,Bowler,1999,December,28,9
KL Rahul,Batter,1992,April,18,16
KM Asif,Bowler,1993,July,24,15
KM Jadhav,All_Rounder,1985,March,26,23
KMA Paul,Bowler,1998,February,21,10
KMDN Kulasekara,Bowler,1982,July,22,26
KP Appanna,Bowler,1988,December,20,20
KP Pietersen,Batter,1980,June,27,28
KR Sen,Bowler,1996,October,22,12
KS Bharat,Batter,1993,October,3,15
KS Sharma,All_Rounder,1998,October,31,10
KS Williamson,Batter,1990,August,8,18
Kuldeep Yadav,Bowler,1994,December,14,14
KV Sharma,All_Rounder,1987,October,23,21
KW Richardson,Bowler,1991,February,12,17
L Ablish,Bowler,1982,December,3,26
L Balaji,Bowler,1987,September,27,21
L Ngidi,Bowler,1996,March,29,12
L Ronchi,Batter,1981,April,23,27
LA Carseldine,All_Rounder,1975,November,17,33
LA Pomersbach,Batter,1984,September,28,24
Lalit Yadav,All_Rounder,1997,January,3,11
LE Plunkett,Bowler,1985,April,6,23
LH Ferguson,All_Rounder,1991,June,13,17
LI Meriwala,Bowler,1991,December,11,17
LJ Wright,Batter,1985,March,7,23
LMP Simmons,Batter,1985,January,25,23
LPC Silva,Batter,1979,December,14,29
LR Shukla,All_Rounder,1981,May,6,27
LRPL Taylor,Batter,1984,March,8,24
LS Livingstone,Batter,1993,August,4,15
M Ashwin,Bowler,1990,September,8,18
M de Lange,Bowler,1990,October,13,18
M Jansen,Bowler,2000,May,1,8
M Kaif,Batter,1980,December,1,28
M Kartik,Bowler,1976,September,11,32
M Klinger,Batter,1980,July,4,28
M Manhas,All_Rounder,1979,October,12,29
M Markande,Bowler,1997,November,11,11
M Morkel,All_Rounder,1984,October,6,24
